# time  E_inst(Ha)  E_mean(Ha)  E_mean(eV)
1 -0.162543 0 0
2 -0.226262 0 0
3 -0.302611 0 0
4 -0.469539 0 0
5 -0.642769 0 0
6 -0.709441 0 0
7 -0.788747 0 0
8 -0.808543 0 0
9 -0.884398 0 0
10 -0.865676 0 0
11 -0.865303 -0.865303 -23.5461
12 -0.826053 -0.845678 -23.0121
13 -0.883672 -0.858342 -23.3567
14 -0.874248 -0.862319 -23.4649
15 -0.845329 -0.858921 -23.3724
16 -0.95547 -0.875013 -23.8103
17 -0.871911 -0.874569 -23.7982
18 -0.796665 -0.864831 -23.5333
19 -0.833965 -0.861402 -23.4399
20 -0.876034 -0.862865 -23.4798
21 -0.847724 -0.861489 -23.4423
22 -0.828456 -0.858736 -23.3674
23 -0.88559 -0.860801 -23.4236
24 -0.911729 -0.864439 -23.5226
25 -0.863372 -0.864368 -23.5207
26 -0.877187 -0.865169 -23.5425
27 -0.864094 -0.865106 -23.5407
28 -0.85706 -0.864659 -23.5286
29 -0.847387 -0.86375 -23.5038
30 -0.8792 -0.864522 -23.5249
31 -0.880693 -0.865292 -23.5458
32 -0.840478 -0.864164 -23.5151
33 -0.819192 -0.862209 -23.4619
34 -0.842186 -0.861375 -23.4392
35 -0.822506 -0.85982 -23.3969
36 -0.867501 -0.860116 -23.4049
37 -0.831258 -0.859047 -23.3759
38 -0.798322 -0.856878 -23.3168
39 -0.882708 -0.857769 -23.3411
40 -0.810195 -0.856183 -23.2979
41 -0.792701 -0.854135 -23.2422
42 -0.861411 -0.854362 -23.2484
43 -0.808359 -0.852968 -23.2105
44 -0.861682 -0.853225 -23.2174
45 -0.887369 -0.8542 -23.244
46 -0.846957 -0.853999 -23.2385
47 -0.85685 -0.854076 -23.2406
48 -0.934764 -0.856199 -23.2984
49 -0.852552 -0.856106 -23.2958
50 -0.888685 -0.85692 -23.318
51 -0.872545 -0.857302 -23.3284
52 -0.975725 -0.860121 -23.4051
53 -0.881963 -0.860629 -23.4189
54 -0.82346 -0.859784 -23.3959
55 -0.861583 -0.859824 -23.397
56 -0.832861 -0.859238 -23.3811
57 -2.97425 -0.904238 -24.6056
58 -1.02604 -0.906776 -24.6746
59 -0.925507 -0.907158 -24.685
60 -0.900305 -0.907021 -24.6813
61 -0.866557 -0.906228 -24.6597
62 -0.860201 -0.905343 -24.6356
63 -0.834378 -0.904004 -24.5992
64 -0.87449 -0.903457 -24.5843
65 -0.866762 -0.90279 -24.5662
66 -0.916933 -0.903042 -24.573
67 -0.88518 -0.902729 -24.5645
68 -0.889348 -0.902498 -24.5582
69 -0.94299 -0.903185 -24.5769
70 -0.901225 -0.903152 -24.576
71 -0.861042 -0.902462 -24.5572
72 -0.883399 -0.902154 -24.5489
73 -0.849481 -0.901318 -24.5261
74 -0.841114 -0.900377 -24.5005
75 -0.842014 -0.89948 -24.4761
76 -0.860709 -0.898892 -24.4601
77 -0.852934 -0.898206 -24.4414
78 -0.917897 -0.898496 -24.4493
79 -0.85001 -0.897793 -24.4302
80 -0.889731 -0.897678 -24.4271
81 -0.832247 -0.896756 -24.402
82 -0.854909 -0.896175 -24.3862
83 -0.86887 -0.895801 -24.376
84 -0.859552 -0.895311 -24.3627
85 -0.853607 -0.894755 -24.3475
86 -0.823407 -0.893816 -24.322
87 -0.84609 -0.893197 -24.3051
88 -0.835518 -0.892457 -24.285
89 -0.904416 -0.892608 -24.2891
90 -0.850341 -0.89208 -24.2747
91 -0.832559 -0.891345 -24.2547
92 -0.846867 -0.890803 -24.24
93 -0.853953 -0.890359 -24.2279
94 -0.858364 -0.889978 -24.2175
95 -0.85701 -0.88959 -24.207
96 -0.859105 -0.889236 -24.1973
97 -0.8718 -0.889035 -24.1919
98 -0.834071 -0.888411 -24.1749
99 -0.857266 -0.888061 -24.1654
100 -0.836439 -0.887487 -24.1498
